,Message,Favourite Count,Retweet Count,Created At,followers_count,screen_name
0,"RT @John_KissMyBot: President Trump At SOTU:

“Tonight I Ask You To Choose Greatness” 

President Trump @realDonaldTrump We Did By Electing…",0,238,2019-02-07 03:45:28,80025,skb_sara
1,"Dear every branch of the US government, Fuck you, kindly. #SOTU #SOTU2019",0,0,2019-02-07 03:45:25,993,HarrietTubelman
2,RT @tennorman: @senatemajldr I find it interesting that you use the word “Americans” and refer to it as “they” instead of “we”. Do you thin…,0,27,2019-02-07 03:45:25,1404,ContentTBA
3,RT @crookedmedia: Mood. #SOTU2019 https://t.co/v7KyvX5qvX,0,1332,2019-02-07 03:45:25,44,Dharmachick1
4,"RT @IngrahamAngle: No Republican has done better since Reagan bringing to light the gallantry and humility of American heroes, with a focus…",0,6528,2019-02-07 03:45:20,3304,BoothRegboo
5,"RT @Briteeye777: President Trump speaking at the State of the Union right now
makes every single Liberal &amp; Democrat look like the complete…",0,357,2019-02-07 03:45:06,2525,TrumpStrong2
6,@realDonaldTrump #RT if you felt like this after #PresidentTrump delivered the #SOTU2019 https://t.co/KH5xedH64Y,0,0,2019-02-07 03:45:02,6846,o4america
7,"RT @JackShephard316: So that means a pregnant woman’s “body” has 2 hearts, 4 kidneys, 20 fingers and 20 toes, and 92 chromosomes. It’s all…",0,10,2019-02-07 03:44:55,75,JeffDover1
8,"RT @Vicky4Trump: In @SenSchumer's rebuttal to Trump's #SOTU2019 speech, he sounds like a lonely old dog starved for attention. Schumer is 💯…",0,330,2019-02-07 03:44:51,1451,Sammydawg2
9,"RT @Vicky4Trump: In @SenSchumer's rebuttal to Trump's #SOTU2019 speech, he sounds like a lonely old dog starved for attention. Schumer is 💯…",0,330,2019-02-07 03:44:50,162,JPrybylo1
10,RT @lilbulli1031: “America will never be a socialist country. We were born free and we will STAY free.” I absolutely ❤️our @POTUS #SOTU2019…,0,1060,2019-02-07 03:44:50,8627,BryanP18
11,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:44:50,909,kfr0329
12,"RT @IngrahamAngle: No Republican has done better since Reagan bringing to light the gallantry and humility of American heroes, with a focus…",0,6528,2019-02-07 03:44:46,766,crobert2118
13,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:44:45,488,CarmodyDeidre
14,"RT @Vicky4Trump: It became very clear early on in his #SOTU2019 speech, #PresidentTrump was FIERCE! Loved every second of it!!

#BestPresid…",0,40,2019-02-07 03:44:44,9395,MyCrashIs
15,RT @w_terrence: Why did you let Willie Brown tell you to do with yours when y’all were sleeping together behind his wife’s back? #SOTU #SOT…,0,4122,2019-02-07 03:44:44,2409,Kathrynjeansays
16,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:44:38,711,nyawel2
17,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:44:37,332,ellis1347
18,"RT @IWiIlkaga: Trump: “Here in the United States, we are alarmed by the new calls to adopt socialism in our country. America was founded on…",0,3,2019-02-07 03:44:37,3857,lloydpopwell
19,"RT @LionelMedia: The #LionelNation🇺🇸Immersive YouTube LiveStream is on live immediately after the #SOTU2019 and the enfeebled, pathetic Dem…",0,11,2019-02-07 03:44:35,231,fred9038
20,RT @manishasingh: Look forward to working with @IvankaTrump and @WhiteHouse on this great new initiative previewed by @POTUS in #SOTU2019!…,0,16,2019-02-07 03:44:34,540,linda_her
21,RT @StopTrump2020: @realDonaldTrump How would you rate @RealdonaldTrump #SOTU2019,0,55,2019-02-07 03:44:33,563,GirlingKandi
22,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:44:33,401,__ceeez
23,"RT @IzzyIsaiah: @realDonaldTrump: America will never be a socialist country!

#SOTU2019 #BernieSanders #CurbYourEnthusiasm https://t.co/clR…",0,7,2019-02-07 03:44:33,191,An_G_25
24,"RT @RealDrGina: Can any #Democrat tell me one time your members cheered louder for anything than they did themselves? 

Veterans? Record lo…",0,2504,2019-02-07 03:44:29,198,kcpete3
25,RT @gunsandfreedom2: President Trump We will NEVER be a Socialist Nation! Chants of USA Erupt #SOTU #SOTU2019 #MAGA #SocialismKills,0,57,2019-02-07 03:44:29,4824,Heeeellllooooo
26,@DailyCaller OMG did the #ladiesinwhite at the #SOTU2019 ever show their true colors and the true colors of the… https://t.co/hGw0BQQHOP,0,0,2019-02-07 03:44:28,84,trefwarren
27,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:44:27,599,slfcat57
28,"RT @leahmcelrath: I have threaded
the balls
that were on
your body

onto
this special necklace
crafted
for tonight

Forgive me
but they are…",0,868,2019-02-07 03:44:24,151,RealNeil_mtl
29,"RT @BryonnyM: NO EXPRESSION. NO SOUL. NO BRAIN. AN AMERICAN ZERO

@RepAOC 
#SOTU2019  🔥 https://t.co/PeQtH9wq0H",0,226,2019-02-07 03:44:23,6263,TruthFactsKnow
30,"RT @MCCNP: I'm not saying Pelosi is taking any anti-psychotic medications, but she sure did do a lot of 'Lip-Smacking' last night. 🤪

#Just…",0,8,2019-02-07 03:44:22,5893,franginter
31,"RT @patriot101: @RealMAGASteve @robjh1 #VanJones said good things about #SOTU2018, they (MSM) attacked him relentlessly for saying that on…",0,2,2019-02-07 03:44:21,2479,DiMeglioLou
32,"RT @BryonnyM: NO EXPRESSION. NO SOUL. NO BRAIN. AN AMERICAN ZERO

@RepAOC 
#SOTU2019  🔥 https://t.co/PeQtH9wq0H",0,226,2019-02-07 03:44:17,1343,bake840
33,"RT @SeaneyB623: To @BernieSanders, #America 's success, prosperity, strength, security and roaring economy is a dire situation.  #SOTU #SOT…",0,82,2019-02-07 03:44:14,3566,Joanie74109979
34,RT @TheTweetOfGod: White people and black people and brown people and yellow people and red people are all inherently equal and human and g…,0,3911,2019-02-07 03:44:10,250,ikyyy
35,"RT @jojoh888: What a loser!!! 😂🤣😂

#SOTU
#SOTU2019 
#SOTUResponse
#DemocratsAreDestroyingAmerica https://t.co/Ye9FWMSfWF",0,286,2019-02-07 03:44:02,563,dbdork
36,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:59,2952,cyndee31
37,RT @Vicky4Trump: Democrats will never see the greatness of President Trump. This is because they are blinded by their own HATE which is eat…,0,384,2019-02-07 03:43:50,213,JoeD12946835
38,RT @TimRunsHisMouth: Here's Alexandria Ocasio-Cortez high-fiving the air like it's the end of an 80's movie... #sotu #sotu2019 #StateOfTheU…,0,1855,2019-02-07 03:43:47,1121,MarianHernand1
39,"RT @pollsofpolitics: What did you think of #staceyabrams and the #Democrats rebuttal of @POTUS @realDonaldTrump's #SOTU address??

Please v…",0,147,2019-02-07 03:43:47,4894,TimAdam35624879
40,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:46,81,e_livingston430
41,"RT @KarenCorrea830: Trump states that all children are important, but he somehow failed to mention the thousand of children who have been s…",0,1,2019-02-07 03:43:43,115,kevin_vee
