,imageid,labels,scores
0,1887675048681946284,"['Reflection', 'Water', 'Blue', 'Waterway', 'Street', 'Swan', 'Water bird', 'Sky', 'Architecture', 'Infrastructure']","[0.9603376388549805, 0.9512578248977661, 0.9371774196624756, 0.8861828446388245, 0.7769956588745117, 0.762521505355835, 0.7571303248405457, 0.7326111197471619, 0.7263345718383789, 0.716813862323761]"
1,1887750972126714187,"['Sport venue', 'Product', 'Stadium', 'Fan', 'T-shirt', 'Player', 'Baseball field', 'Sports uniform', 'Team sport', 'Jersey']","[0.9421510100364685, 0.9413959383964539, 0.9212267398834229, 0.7758451104164124, 0.7637486457824707, 0.6997412443161011, 0.6815800070762634, 0.6459624767303467, 0.6276144981384277, 0.6230229139328003]"
2,1887939394339128382,"['Eyewear', 'Glasses', 'Cool', 'Nail', 'Hand', 'Sunglasses', 'Finger', 'Fun', 'Photography', 'Summer']","[0.9922423958778381, 0.9812176823616028, 0.8935968279838562, 0.8354243040084839, 0.8332167863845825, 0.8245329856872559, 0.8105190992355347, 0.8011429905891418, 0.7245198488235474, 0.6985629200935364]"
3,1888007540646834631,"['Hair', 'Face', 'Hairstyle', 'Forehead', 'Head', 'Eyebrow', 'Chin', 'Nose', 'Lip', 'Ear']","[0.9909557700157166, 0.9656747579574585, 0.9600222706794739, 0.9269290566444397, 0.8901773691177368, 0.8763675689697266, 0.875241756439209, 0.8699295520782471, 0.754080057144165, 0.750139594078064]"
4,1888083309374639933,"['Transport', 'Green', 'Mode of transport', 'Public transport', 'Window']","[0.9205442667007446, 0.9068462252616882, 0.8081701397895813, 0.588403046131134, 0.5380262732505798]"
5,1888083315372477617,"['Eyewear', 'Glasses', 'Face', 'Head', 'Forehead', 'White-collar worker', 'Vision care', 'Suit', 'Human', 'Fun']","[0.9807915687561035, 0.9618439674377441, 0.9538267254829407, 0.8762359619140625, 0.8460902571678162, 0.7903668880462646, 0.7853339314460754, 0.7600831985473633, 0.746764600276947, 0.7039424180984497]"
6,1888083317788415675,"['Transport', 'Standing', 'Train station', 'Train', 'Mode of transport', 'Yellow', 'Passenger', 'Vehicle', 'Railway', 'Metropolitan area']","[0.9715953469276428, 0.9236568212509155, 0.9077023267745972, 0.8641319274902344, 0.8588771224021912, 0.8363301753997803, 0.7844288945198059, 0.7578500509262085, 0.7037583589553833, 0.6908340454101562]"
7,1888083319290047425,"['Human leg', 'Leg', 'Footwear', 'Shoe', 'Thigh', 'Sitting', 'Yellow', 'Knee', 'Fashion', 'Floor']","[0.9652858376502991, 0.956842839717865, 0.9227088093757629, 0.873757541179657, 0.8732613325119019, 0.8498537540435791, 0.8363301753997803, 0.8277957439422607, 0.8057913780212402, 0.7681835293769836]"
8,1888083320824960560,"['Sitting', 'Gentleman', 'Snapshot', 'Human', 'White-collar worker', 'Suit', 'Businessperson', 'Conversation', 'Furniture', 'City']","[0.9037347435951233, 0.8321303725242615, 0.8291832208633423, 0.7766329646110535, 0.7752504944801331, 0.7087061405181885, 0.7065972089767456, 0.6063675880432129, 0.5674918293952942, 0.5134755373001099]"
9,1888158516456404761,"['People', 'Adaptation', 'Water', 'Child', 'Soil', 'Fun', 'Smile', 'Tree', 'Jungle', 'Geological phenomenon']","[0.9600368142127991, 0.8291429281234741, 0.8073040843009949, 0.7418337464332581, 0.7185768485069275, 0.7039424180984497, 0.6944891214370728, 0.6869218349456787, 0.6329776644706726, 0.6163091659545898]"
