screen_name,retweeted_user,content_type
Outsider__14,Geebsvega,RT
Doug_Bandow,JimBovard,RT
GAdevoted,USRepKCastor,RT
lynmacjay,BrentBozell,RT
doceansec,FrankLuntz,RT
meccanfield441,The_UnSilent_,RT
HeteroNik,heyitsCarolyn,RT
Mane68Mom,RealCandaceO,RT
ReclaimUSA2016,Don_Vito_08,RT
IamcynthiaIn,RealCandaceO,RT
lynn_weiser,RealCandaceO,RT
danieldscouten1,FLOTUS,RT
LeighStorz,EpochTimes,RT
JamesLarso,LindaForAmerica,RT
SGotti1982,GregsListLive,RT
BatmanisElvis,realCalebLawson,RT
Susannapotter13,BlazeTV,RT
CEWingate1968,GOP,RT
TwittaHoney,awkward_duck,RT
meldpage,RealCandaceO,RT
DebbieM6688,newtgingrich,RT
invenitmundo,Doodisgirl,RT
MoreC1027,,Tweet
rdelightus,SteveScalise,RT
KatyahPTT,Daniel_Lewis3,RT
j20godschild,FLOTUS,RT
StaceyW32933359,thedailybeast,RT
linmp1031,JohnRMoffitt,RT
ecv_emma,Emma4Change,RT
Acegeorge55,realDerekUtley,RT
bmazaf,VOANoticias,RT
rjnana1235,JaySekulow,RT
AnneLaurette1,alfranken,RT
Debmoley,IngrahamAngle,RT
Gizmo0225,MichaelSkolnik,RT
drcouch14765,HLAurora63,RT
LibertyIsBella1,JamesWa55188246,RT
hannahB75921790,FLOTUS,RT
Hemiheadx,Jim_Jordan,RT
mrusche_2go,KenidraRWoods_,RT
BusterTiberiusB,JonLionFineArt,RT
kelleyh1961,,Tweet
lynn_weiser,Ilhan,RT
truerepublican7,BlazeTV,RT
LMDB05,RealCandaceO,RT
jhudson176,bud_cann,RT
Ms_lol_tweets,Ilhan,RT
rkdowner,SaysHummingbird,RT
the_amphibian,jacobsoboroff,RT
vancejbrown,SenMarkey,RT
Damnoldguy,Franklin_Graham,RT
J_Brussels,FLOTUS,RT
GodCountryFami6,realDerekUtley,RT
KateMFoss,KamalaHarris,RT
ingut,SenBlumenthal,RT
Muzzo11Sb,HLAurora63,RT
Guiller92839869,SenTedCruz,RT
Holmer_K,myserenity69,RT
pathfinder1898,,Tweet
HRHlaw1,RepJudyChu,RT
jimhamilton22,boxofdildos,RT
evalena72,alexmjordan,RT
SDCityTimes,,Tweet
Shelia__H,RealCandaceO,RT
Berbaberbatov,KTHopkins,RT
Smokecat11,KatrinaPierson,RT
Sleepyh33468480,FLOTUS,RT
McBee1986,JessieJaneDuff,RT
shestheman,spicykezzinnugg,RT
SchumannSteve,Lrihendry,RT
DanaRuxi123,RealCandaceO,RT
Bruja_Chula,Newsweek,RT
dawnnevel,heyitsCarolyn,RT
Kpod1952,RealCandaceO,RT
susieeq0,KamalaHarris,RT
Belgian_Blue,obianuju,RT
wan_wiggins,RealCandaceO,RT
TracyJHoban,Str8DonLemon,RT
Q_Memer_1,heyitsCarolyn,RT
